name;platform;r-date;score;user score;developer;genre;players;critics;users;1 Player;1-2 Player;No Online Multiplayer;MP up to 32;MP up to 30;MP up to 16;No info;1-4 Player
Mutazione;PlayStation4;19.09.2019;76;7.2;DieGuteFabrik;Adventure,Point-and-Click;No Online Multiplayer;11;19;0;0;1;0;0;0;0;0
Dominions II: The Ascension Wars;PC;14.11.2003;76;7.2;IllwinterDesignGroup;Strategy,Turn-Based,Fantasy,General;1-16 ;8;10;0;0;0;0;0;0;0;0
Super Mario Party;Switch;05.10.2018;76;7.2;Nintendo,NdCube;Miscellaneous,Party / Minigame;Online Multiplayer;84;503;0;0;0;0;0;0;0;0
Minutes;PlayStation4;10.02.2015;76;7.2;RedPhantomGames;Action,General;No info;11;20;0;0;0;0;0;0;1;0
Sundered: Eldritch Edition;Switch;21.12.2018;76;7.2;ThunderLotusGames;Action Adventure,General;No Online Multiplayer;10;21;0;0;1;0;0;0;0;0
Rocketbirds: Hardboiled Chicken;PlayStationVita;12.02.2013;76;7.2;RatloopAsiaPteLtd;Action,Adventure,General,General,Platformer,2D;2 ;18;40;0;0;0;0;0;0;0;0
ATV Offroad Fury Pro;PSP;26.10.2006;76;7.2;ClimaxGroup,ClimaxStudios;Driving,Racing,Simulation,Rally / Offroad,Rally / Offroad,Automobile;4  Online;32;5;0;0;0;0;0;0;0;0
Klaus;PlayStation4;19.01.2016;76;7.2;LaCosaEntertainment;Action,Platformer,2D;No info;28;33;0;0;0;0;0;0;1;0
Heart&Slash;PlayStation4;28.06.2016;76;7.2;AHEARTFULOFGAMES;Action,General;No info;7;15;0;0;0;0;0;0;1;0
Victor Vran: Overkill Edition;PlayStation4;30.05.2017;76;7.2;HaemimontGames;Role-Playing,Action RPG;Up to 4 ;15;22;0;0;0;0;0;0;0;0
Age of Booty;Xbox360;15.10.2008;76;7.2;CertainAffinity;Strategy,Miscellaneous,Real-Time,Party,General,Fantasy;8  Online;20;28;0;0;0;0;0;0;0;0
Post Void;PC;06.08.2020;76;7.2;YCJYGames;Action,Shooter,First-Person,Arcade;No Online Multiplayer;8;9;0;0;1;0;0;0;0;0
Forgotton Anne;PC;15.05.2018;76;7.2;ThroughlineGames;Adventure,General;No Online Multiplayer;28;50;0;0;1;0;0;0;0;0
LEGO Marvel Super Heroes 2;Switch;14.11.2017;76;7.2;TTGames;Action,Platformer,3D;No Online Multiplayer;10;59;0;0;1;0;0;0;0;0
TT Isle of Man: Ride On The Edge 2;XboxOne;19.03.2020;75;7.2;KTRacing;Racing,Arcade,Automobile;Up to 8 ;11;10;0;0;0;0;0;0;0;0
